"date","address","phone","num_hugi","title","max_daesil_time","daesil_price","sukbak_time","sukbak_price","hashtag","content"
"2018-11-16","서울특별시 종로구 낙원동 86 YAJA 종로점","050350515011","7640","YAJA 종로점","5","22,000","21:00","75,000","#좋은숙박연구소 #현장적립 #최저가보상","스마트폰 충전기, 고데기 대여 가능 가스비왁스 제공최고급 프리미엄 원두커피 및 고소한 팝콘 무한제공"
"2018-11-16","서울특별시 강동구 천호동 454-57 YAJA 천호역점","050350502094","1308","YAJA 천호역점","5","20,000","19:00","60,000","#좋은숙박연구소 #현장적립 #최저가보상","7+1 쿠폰 이벤트호텔야자 천호역점 마일리지 적립 가능"
"2018-11-16","서울특별시 강서구 화곡동 901-26 YAJA 화곡점 ","050350501704","1971","YAJA 화곡점","6","18,000","20:00","50,000","#좋은숙박연구소 #현장적립 #최저가보상","【현장결제 대실연장 이벤트】【평일현장결제 객실 업그레이드 이벤트】대실 이용후기 이벤트"
"2018-11-16","서울특별시 동대문구 제기동 67-209 YAM 고려대점 ","050350501858","994","YAM 고려대점","6","17,000","20:00","40,000","#좋은숙박연구소 #현장적립 #최저가보상","최저가로 준비했어요☆택시비 지원 이벤트고려대생과 함께하는 인증샷 EVENT!"
"2018-11-16","서울특별시 광진구 구의동 246-13 YAM 구의역점 ","050350502179","1864","YAM 구의역점","5","20,000","18:00","60,000","#좋은숙박연구소 #현장적립 #최저가보상","주차는 전화로 문의 부탁드립니다.여름맞이 이벤트(핸디선풍기 선착순 증정)무한대실 이벤트"
"2018-11-16","서울특별시 송파구 방이동 42 YAM 방이점","050350515132","1571","YAM 방이점","6","20,000","20:00","55,000","#좋은숙박연구소 #현장적립 #최저가보상","여성 도미토리룸 ★OPEN★택시비 지원 이벤트! (아산병원, 롯데월드)주중 대실/숙박 후기 이벤트~~"
"2018-11-16","서울특별시 서초구 반포동 94-7 YAM 서래마을점 ","050350500623","1797","YAM 서래마을점","5","18,000","20:00","58,000","#쿠폰혜택 #좋은숙박연구소 #현장적립","★택시타고 얌 가자무한대실 이벤트더블 스탬프 적립 이벤트"
"2018-11-16","서울특별시 금천구 가산동 139-19","050350500942","668","가산 마리호텔","6","30,000","20:00","60,000","#현장적립",""
"2018-11-16","서울특별시 금천구 가산동 141-1","050350500424","917","가산 마인드호텔","5","25,000","18:00","70,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립 #최저가보상","EVENT 1 ★10% 마일리지 적립 이벤트★EVENT 2 무한대실 이벤트♥EVENT 3 ★사진 후기 작성 이벤트"
"2018-11-16","서울특별시 금천구 가산동 140-83","050350501236","921","가산 뷰","6","20,000","21:00","50,000","#현장적립 #최저가보상","*대실이용시간 최대증정*""야놀자 회원님들 환영합니다""매월 말일 이용후기 추첨 이벤트?"
"2018-11-16","서울특별시 금천구 가산동 139-25","050350500035","1591","가산 에펠준","5","20,000","20:00","50,000","#현장적립 #최저가보상","호호(?????? ³ ??????) 라면 10,000개 이벤트이용 후기를 올리면 무료권이 내 손안에!!!사진 및 텍스트 후기"
"2018-11-16","서울특별시 금천구 가산동 140-34","050350510190","441","가산 자기야","5","22,000","20:00","55,000","#현장적립 #최저가보상","☆즉시 사용가능한 즉시할인쿠폰 1만원,5천원 선착순 제공!☆"
"2018-11-16","서울특별시 금천구 가산동 140-31","050350510194","110","가산 캐슬","6","20,000","22:00","55,000","#현장적립","★가산 캐슬! 새단장 OPEN!"
"2018-11-16","서울특별시 금천구 가산동 140-33","050350517026","208","가산 팰리스파크","4","20,000","18:00","40,000","#쿠폰혜택 #마이룸 #현장적립","▶ 무한대실 EVENT ! ( 월 - 금 / 공휴일 및 주말 제외)▶ 스낵바 운영 씨리얼 + 쿠키 + 커피머신 구비 !!▶ 가산 마리오아울렛 ,W몰 에서 도보5분!!"
"2018-11-16","서울특별시 강남구 역삼동 648-7","025576487","285","강남 648호텔","3","30,000","20:00","89,000","#쿠폰혜택 #현장적립","최고급 라텍스 매트리스 교체?대실, 숙박할인쿠폰 매일 선착순 지급!??숙박고객 얼리 체크인, 레이트 체크아웃 1시간씩 추가!?"
"2018-11-16","서울특별시 강남구 역삼동 826-46","050350509644","884","강남 BNN","4","22,000","22:00","60,000","#쿠폰혜택 #현장적립",""
"2018-11-16","서울특별시 강남구 역삼동 628-12","050350516995","191","강남 SENNE(세느)","","","15:00","111,100","#쿠폰혜택 #마이룸 #현장적립","※ 숙박 예약고객 무료숙박권 증정 이벤트(2매)※ 부티크 비즈니스호텔 '세느' 의 서비스 ※"
"2018-11-16","서울특별시 강남구 도곡동 542-2","050350509605","522","강남 데미안호텔","8","25,000","14:00","70,000","#쿠폰혜택 #마이룸 #현장적립","(신규서비스)투숙객 무료 간편조식운영(기간한정)나홀로(1인) 숙박 할인 이벤트"
"2018-11-16","서울특별시 강남구 역삼동 735-27","025544250","2976","강남 렉시","6","25,000","21:00","70,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립 #최저가보상","Lexy Hotel Big Event"
"2018-11-16","서울특별시 강남구 삼성동 37-16","050350500236","741","강남 마레","12","25,000","22:00","70,000","#마이룸","파티룸 공짜 이벤트!마레복권 이벤트강남 마레에서 준비한 달콤한 생일파티 이벤트"
"2018-11-16","서울특별시 강남구 역삼동 826-44","050350501678","1925","강남 밀라노","6","20,000","22:00","60,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립 #최저가보상","★ 숙박요금 9월 할인 이벤트가 ★ 프런트에서 고데기 대여 가능 ★ TV 다시보기 서비스, 무료영화서비스 추가! ★야놀자 회원 혜택 적용!★강남밀라노 일요일 숙박 할인 이벤트 진행중★"
"2018-11-16","서울특별시 강남구 역삼동 831-7","025398151","1448","강남 샹그리아","4","28,000","21:00","70,000","#쿠폰혜택 #당일예약취소가능 #현장적립 #최저가보상","음식점, 전철역 등 번화가의 모든 위치에서 가까운 강남 샹그리아강남역 1번 출구에서 도보 5분 거리에 위치"
"2018-11-16","서울특별시 강남구 역삼동 826-41","050350501239","1151","강남 시애틀","4","30,000","22:00","90,000","#쿠폰혜택 #현장적립 #최저가보상","1. 주중 숙박 객실 업그레이드?2. 마일리지 최대 10% 적립?3. 색다른 디자인과 모던 객실 보유"
"2018-11-16","서울특별시 강남구 역삼동 825-29","050350500335","1845","강남 초콜릿","4","25,000","20:00","80,000","#쿠폰혜택 #당일예약취소가능 #현장적립 #최저가보상","★EVENT★ 초콜릿 호텔과 카카오톡 친구가 되자!강남 초콜릿, 일요일 저녁은 초콜릿에서6시간 대실! (내용 있음)"
"2018-11-16","서울특별시 강남구 역삼동 825-30","050350514359","1311","강남 캠퍼스","4","30,000","20:00","90,000","#쿠폰혜택 #마이룸 #현장적립 #최저가보상","생생 사진 후기 이벤트!"
"2018-11-16","서울특별시 강남구 논현동 201-11","050350502177","499","강남 호텔 더 디자이너스 리즈 프리미어","4","30,000","15:00","126,500","#쿠폰혜택 #현장적립 #최저가보상","더 높은 품격, 더 디자이너스 리즈 프리미어- Bath Amenity 구비- 무료 WI-FI"
"2018-11-16","서울특별시 강동구 성내동 199-7","024874871","1601","강동 부띠끄호텔 월","4","22,000","20:00","65,000","#쿠폰혜택 #현장적립 #최저가보상","강동역 3번출구 인근!도보고객 대실,숙박 할인!안마의자 객실 완비! 넓은 주차장 확보!"
"2018-11-16","서울특별시 강서구 외발산동 282-2","050350514275","468","강서(외발산동) 웨스턴리버","5","25,000","18:00","65,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #최저가보상","★ 안마의자 ★ 디럭스이상 설치완료!!●_● 편의점 입점완료 !! 멀리가지말자 ~ ★♥ 발렛파킹 // 정성껏 주차해드립니다 ^_^"
"2018-11-16","서울특별시 강남구 개포동 1229-8","050350515859","774","개포 컬리넌","4","30,000","20:00","90,000","#쿠폰혜택 #현장적립 #최저가보상","3. 정성스런 리뷰작성 고객에게 주중 숙박 2만원 할인권 제공(일~목요일 가능)"
"2018-11-16","서울특별시 광진구 군자동 350-7 건대 PIN","050350500395","1168","건대 PIN","5","20,000","19:00","70,000","#쿠폰혜택 #당일예약취소가능 #현장적립 #최저가보상","★ 건대 PIN만의 특별 이벤트 ★택시비지원 이벤트! (숙박고객 입실시에 한해서)무한대실 제공 !"
"2018-11-16","서울특별시 광진구 자양동 203-2","050350514408","85","건대 강변","3","20,000","19:00","35,000","#쿠폰혜택 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 성동구 송정동 66-78","050350502144","255","건대 공감","5","15,000","21:00","40,000","#쿠폰혜택 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 광진구 화양동 18-12 건대 GUGU HOTEL","050350516052","1541","건대 구구(GUGU) HOTEL","4","25,000","21:00","80,000","#현장적립 #최저가보상","★ GRAND OPEN 9월 ★"
"2018-11-16","서울특별시 광진구 화양동 121-9","050350510039","123","건대 두바이","4","25,000","16:00","55,000","#쿠폰혜택 #마이룸 #현장적립",""
"2018-11-16","서울특별시 광진구 군자동 355 건대 딥","050350515210","1045","건대 딥","5","20,000","19:00","60,000","#쿠폰혜택 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 광진구 능동 276-1 건대 부티크나인(HB9)","050350515405","2426","건대 부티크나인(HB9)","3","25,000","15:00","75,000","#쿠폰혜택 #TOP100 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 성동구 송정동 20-1","050350500839","2266","건대 쁠랑","8","20,000","20:00","60,000","#쿠폰혜택 #당일예약취소가능 #현장적립 #최저가보상","파격적인 무한대실 이벤트 ?파격적인 무한숙박 이벤트퇴실시간 연장 이벤트"
"2018-11-16","서울특별시 광진구 중곡동 250-4","024637331","115","건대 샐몬","4","20,000","20:00","50,000","#쿠폰혜택 #현장적립 #최저가보상","<후기이벤트 진행중> 친절한 후기를 남겨주신 고객님 대상으로 주중무료숙박/대실권 증정택시영수증 지참 시 영수증 금액에 따라 최대 5,000원 지원해드립니다. (단, 마이룸 이용 고객 제외)"
"2018-11-16","서울특별시 광진구 화양동 23-25","050350510044","108","건대 세종","3","20,000","20:00","50,000","#쿠폰혜택 #마이룸 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 광진구 자양동 10-6 건대 시마","050350518486","3","건대 시마","5","20,000","22:00","50,000","#현장적립 #최저가보상",""
"2018-11-16","서울특별시 광진구 자양동 203-5","050350514273","105","건대 영동","","20,000","17:00","35,000","#쿠폰혜택 #최저가보상",""
"2018-11-16","서울특별시 광진구 화양동 49-5","050350510051","33","건대 초원","4","20,000","20:00","55,000","#쿠폰혜택 #마이룸 #최저가보상",""
"2018-11-16","서울특별시 성동구 송정동 66-170","050350514904","155","건대 캠퍼스","3","15,000","21:00","40,000","#쿠폰혜택 #당일예약취소가능 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 광진구 군자동 350-6","050350501260","5420","건대 컬리넌 1,2호점","6","23,000","15:00","69,000","#마이룸 #현장적립 #최저가보상","POINT 적립 EVENT : )Tuesday event : )건대 컬리넌호텔 이용후기 이벤트 : )"
"2018-11-16","서울특별시 광진구 화양동 18-11 건대 테마","050350500938","1839","건대 테마","6","20,000","20:00","70,000","#쿠폰혜택 #현장적립 #최저가보상","배틀그라운드, 오버워치 도입! 테마에서 즐기세요!무한대실 EVENT 진행중!마일리지 카드 발급! ?"
"2018-11-16","서울특별시 광진구 화양동 17-10","050350501868","348","건대 프리마","4","18,000","16:00","60,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 광진구 자양동 24-6 24-6 143-190","050350516862","1382","건대 호텔 K WORLD","6","30,000","20:00","90,000","#최저가보상","주중 월~금요일 오전 9~12시 입실 시 오후 6시까지 최대 9시간 무한대실 제공"
"2018-11-16","서울특별시 광진구 화양동 23-15 호텔 더 디자이너스 프리미어 건대","050350516439","2705","건대 호텔 더 디자이너스 프리미어","5","35,000","15:00","110,000","#쿠폰혜택 #TOP100 #마이룸 #현장적립","일레븐 라운지(1lleven Lounge) 제휴 EVENT!현장 방문결제 EVENT !일레븐 라운지(1lleven Lounge)"
"2018-11-16","서울특별시 광진구 구의동 633-4 건대 호텔스타","050350500267","3491","건대 호텔스타","6","23,000","18:00","80,000","#마이룸 #당일예약취소가능 #현장적립 #최저가보상","★ 건대 호텔스타 무한대실 이벤트★ 건대 호텔스타 월별 이용후기 이벤트★ 건대 호텔스타 적립 이벤트!"
"2018-11-16","서울특별시 광진구 중곡동 638-3 건대 더 디자이너스","050350510777","288","건대(군자) 더 디자이너스","3","35,000","14:00","110,000","#현장적립 #최저가보상","이용객에게 음료&빵 20% 할인쿠폰 제공"
"2018-11-16","서울특별시 동대문구 휘경동 336-7","050350500775","1663","경희대 5월愛","13","20,000","20:00","60,000","#쿠폰혜택 #현장적립 #최저가보상","♥ 대실 이벤트1"
"2018-11-16","서울특별시 동대문구 회기동 53-2","050350516131","173","경희대 블라","4","20,000","21:00","50,000","#쿠폰혜택 #현장적립",""
"2018-11-16","서울특별시 동대문구 휘경동 336-2","050350501263","2767","경희대 수(SOO)","7","20,000","20:00","60,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립 #최저가보상","★SOO.PERSTAR 프로모션 50%쿠폰 증정중★럭키투데이 랜덤★요금DOWN 시간UP 객실UP★★애견 동반 체크인 가능 객실 OPEN★"
"2018-11-16","서울특별시 동대문구 휘경동 336-3 회기 스카이","050350510273","936","경희대 스카이","4","20,000","16:00","55,000","#현장적립 #최저가보상",""
"2018-11-16","서울특별시 광진구 광장동 241-1","050350502012","33","광진 대하모텔","3","25,000","20:00","53,000","#쿠폰혜택 #마이룸 #최저가보상","★넓은 주차장과 쾌적한 객실을 보유한 광진 대하모텔★"
"2018-11-16","서울특별시 서초구 서초동 1670-8","050350510482","596","교대 덴버","4","30,000","15:00","65,000","#쿠폰혜택 #마이룸","# 1. 교대역 1번 출구 인근에 위치# 2. 무료 영화 감상 ?# 3. 모던하고 심플한 객실 보유"
"2018-11-16","서울특별시 구로구 가리봉동 135-25","050350518061","337","구로 JS 호텔","10","20,000","14:00","55,000","#쿠폰혜택 #마이룸 #현장적립","▶ Event1 : 오픈특가 할인 이벤트▶ Event2 : 오픈 특가 선착순 쿠폰발급▶ Event : 무한숙박, 대실연장 이벤트"
"2018-11-16","서울특별시 구로구 구로동 705-50","050350510114","6","구로 수 모텔","","","","","#최저가보상",""
"2018-11-16","서울특별시 구로구 구로동 705-8","050350514444","2","구로 시티파크","3","23,000","17:00","35,000","#최저가보상",""
"2018-11-16","서울특별시 구로구 구로동 1131-2 서울특별시 구로구 구로동 1131-2","050350517894","705","구로 컬리넌","5","25,000","19:00","70,000","#TOP100 #현장적립","모든것이 새제품! 배틀그라운드 완벽구동,커플PC,안마의자,공기청정기까지특급이벤트 컬리넌 x 야놀자 콜라보로 예약시 할인쿠폰 선착순 제공!선착순 100명의 고객들에게 소정의 GRAND OPEN 기념 선물을 증정합니다!"
"2018-11-16","서울특별시 구로구 가리봉동 131-45","050350515389","5","구로(가리봉) 남양장","","","","","",""
"2018-11-16","서울특별시 구로구 개봉동 353-6","050350501672","161","구로(개봉) J","5","20,000","22:00","45,000","#마이룸 #현장적립","전객실 SK브로드밴드 IPTV(다시보기)+ 초고속 WIFI고사양 PC 구비(일부 객실 노트북 대여)전객실 정품 비품 사용"
"2018-11-16","서울특별시 구로구 개봉동 403-212","050350510138","288","구로(개봉) 샬","4","20,000","20:00","40,000","#쿠폰혜택 #마이룸",""
"2018-11-16","서울특별시 구로구 개봉동 198-7","050350517072","73","구로(개봉) 오슬로","4","20,000","21:00","50,000","#쿠폰혜택 #마이룸 #현장적립","▶ 씨네호텔 영화관 제휴점 최신영화 무료감상!▶ 스낵바 운영 라면 + 팝콘 + 커피머신 구비 !!▶ 개봉역 1번출구 200m!!"
"2018-11-16","서울특별시 광진구 구의동 212-17","050350500777","657","구의 R","7","15,000","17:00","50,000","#쿠폰혜택 #당일예약취소가능 #현장적립 #최저가보상","동서울터미널/강변역/구의역 도보 5-10분무한대실 이벤트상품권 이벤트"
"2018-11-16","서울특별시 광진구 구의동 246-39 구의 마레","024467070","733","구의 마레","5","20,000","21:00","60,000","#현장적립 #최저가보상","★대실 이용 고객님 현장 현금결제 시 회원가 적용★★주중 12시이전 입실시 대실 6시간이용가능(현장결제시 적용)★"
"2018-11-16","서울특별시 광진구 구의동 201-3 구의 문","050350501174","755","구의 문","6","25,000","18:00","60,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립 #최저가보상","주중 Mini 룸 특별할인 이벤트이용후기 이벤트 실시!!마일리지 이벤트 실시!!"
"2018-11-16","서울특별시 광진구 구의동 246-40","050350516280","699","구의 폼","5","20,000","21:00","60,000","#현장적립 #최저가보상","※리모델링 오픈이벤트※ 숙박 일반 이용고객님 현장 현금 결제시 회원가 적용"
"2018-11-16","서울특별시 광진구 자양동 657-16 구의 피넛","050350510071","1594","구의 피넛","6","20,000","20:00","100,000","#쿠폰혜택 #현장적립 #최저가보상","옥상 루프탑 글램핑룸을 즐기세요!피넛호텔 무료 셀프 다이닝룸 ?"
"2018-11-16","서울특별시 광진구 군자동 471-1","050350510040","514","군자 검은나비","4","15,000","20:00","35,000","#쿠폰혜택 #마이룸 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 광진구 능동 220-6 군자 몰디브","050350510073","301","군자 몰디브","4","20,000","19:00","55,000","#현장적립 #최저가보상",""
"2018-11-16","서울특별시 광진구 군자동 469-18","050350501962","428","군자 아미가","4","20,000","22:00","56,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립 #최저가보상","주중(월~금) 13시 이전 입실 시, 17시까지 무한대실"
"2018-11-16","서울특별시 광진구 군자동 478-1호 군자 큐","050350501568","659","군자 큐","4","18,000","21:00","50,000","#쿠폰혜택 #마이룸",""
"2018-11-16","서울특별시 광진구 군자동 471-16","050350502057","112","군자 투","4","20,000","22:00","50,000","#쿠폰혜택 #현장적립 #최저가보상",""
"2018-11-16","서울특별시 금천구 시흥동 888-17","050350515933","8","금천(시흥동) 가림","4","20,000","","","#최저가보상","객실 내 PC, VOD, 와이파이 설치?시흥사거리 인근"
"2018-11-16","서울특별시 금천구 시흥동 882-52","050350514390","418","금천(시흥동) 꼬모","6","20,000","17:00","50,000","#쿠폰혜택 #당일예약취소가능 #현장적립 #최저가보상","입실부터 기분좋은 꼬모에서 행복한 시간 보내세요^^청결한 객실상태와 포근한 침구류와 함께 집과 같은 편안함을 느껴보시기 바랍니다!※주차장 이용불가!"
"2018-11-16","서울특별시 금천구 시흥동 122-4","050350501033","899","금천(시흥동) 멀티도로시","6","18,000","17:00","50,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립 #최저가보상","EVENT 1. (일~월) 잠깐대실EVENT 2. (월~금)맞춤형 무한대실 / 무한숙박 반짝 이벤트EVENT 3. 생일 이벤트"
"2018-11-16","서울특별시 금천구 시흥동 888-14","050350500951","848","금천(시흥동) 반디","6","20,000","20:00","55,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립","반디의 365일 이벤트 ?택시비 지원?★후기추첨 <무료대실권/무료숙박권>지급 >_<★시흥동 최고의 주차시설 완비★"
"2018-11-16","서울특별시 금천구 시흥동 995-40","050350500852","1131","금천(시흥동) 영빈","5","20,000","19:00","45,000","#쿠폰혜택 #마이룸 #당일예약취소가능 #현장적립 #최저가보상","시흥동 친절끝판왕?★넓은 주차장과 다양한 먹거리★?다양한 숙박 & 대실 이벤트?"
"2018-11-16","서울특별시 성동구 금호동3가 393","050350516109","124","금호 금호모텔","4","20,000","19:00","35,000","#쿠폰혜택 #마이룸 #최저가보상",""
"2018-11-16","서울특별시 성동구 금호동3가 1305-1","050350514739","31","금호 서중모텔","4","20,000","16:00","40,000","#쿠폰혜택 #마이룸 #최저가보상",""
"2018-11-16","서울특별시 성동구 금호동3가 1~774 240번지","050350514791","7","금호 스타장","4","20,000","16:00","40,000","#쿠폰혜택 #마이룸",""
"2018-11-16","서울특별시 강동구 길동 449-2","050350516495","631","길동 COUPLE","6","15,000","17:00","50,000","#쿠폰혜택 #현장적립","길동에 포근한 보금자리!스타벅스 원두커피 제공~강동역 2번출구 인근!"
